,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate
0,East of England,Amikacin,2020-08-01,K-pneumoniae,0.64,K-pneumoniae__Amikacin__East of England,East of England,1.52
1,East of England,Carbapenems,2020-08-01,K-pneumoniae,0.0,K-pneumoniae__Carbapenems__East of England,East of England,1.52
2,East of England,Ciprofloxacin,2020-08-01,K-pneumoniae,11.06,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.52
3,East of England,Co-amoxiclav,2020-08-01,K-pneumoniae,27.04,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.52
4,East of England,Gentamicin,2020-08-01,K-pneumoniae,4.9,K-pneumoniae__Gentamicin__East of England,East of England,1.52
5,East of England,Piperacillin with tazobactam,2020-08-01,K-pneumoniae,22.0,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.52
6,East of England,Third Generation Cephalosporins,2020-08-01,K-pneumoniae,10.78,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.52
7,East of England,Amikacin,2020-08-01,P-aeruginosa,2.56,P-aeruginosa__Amikacin__East of England,East of England,1.52
8,East of England,Carbapenems,2020-08-01,P-aeruginosa,5.34,P-aeruginosa__Carbapenems__East of England,East of England,1.52
9,East of England,Ceftazidime,2020-08-01,P-aeruginosa,8.73,P-aeruginosa__Ceftazidime__East of England,East of England,1.52
10,East of England,Ciprofloxacin,2020-08-01,P-aeruginosa,10.0,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.52
11,East of England,Piperacillin with tazobactam,2020-08-01,P-aeruginosa,10.77,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.52
12,East of England,Macrolides,2020-08-01,S-pneumoniae,0.0,S-pneumoniae__Macrolides__East of England,East of England,1.52
13,East of England,Penicillin,2020-08-01,S-pneumoniae,5.88,S-pneumoniae__Penicillin__East of England,East of England,1.52
14,East of England,Amikacin,2020-09-01,K-pneumoniae,1.23,K-pneumoniae__Amikacin__East of England,East of England,1.51
15,East of England,Carbapenems,2020-09-01,K-pneumoniae,0.93,K-pneumoniae__Carbapenems__East of England,East of England,1.51
16,East of England,Ciprofloxacin,2020-09-01,K-pneumoniae,13.46,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.51
17,East of England,Co-amoxiclav,2020-09-01,K-pneumoniae,30.05,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.51
18,East of England,Gentamicin,2020-09-01,K-pneumoniae,7.62,K-pneumoniae__Gentamicin__East of England,East of England,1.51
19,East of England,Piperacillin with tazobactam,2020-09-01,K-pneumoniae,25.24,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.51
20,East of England,Third Generation Cephalosporins,2020-09-01,K-pneumoniae,12.26,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.51
21,East of England,Amikacin,2020-09-01,P-aeruginosa,1.27,P-aeruginosa__Amikacin__East of England,East of England,1.51
22,East of England,Carbapenems,2020-09-01,P-aeruginosa,4.29,P-aeruginosa__Carbapenems__East of England,East of England,1.51
23,East of England,Ceftazidime,2020-09-01,P-aeruginosa,7.41,P-aeruginosa__Ceftazidime__East of England,East of England,1.51
24,East of England,Ciprofloxacin,2020-09-01,P-aeruginosa,7.09,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.51
25,East of England,Piperacillin with tazobactam,2020-09-01,P-aeruginosa,9.29,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.51
26,East of England,Macrolides,2020-09-01,S-pneumoniae,4.35,S-pneumoniae__Macrolides__East of England,East of England,1.51
27,East of England,Penicillin,2020-09-01,S-pneumoniae,5.0,S-pneumoniae__Penicillin__East of England,East of England,1.51
28,East of England,Amikacin,2020-10-01,E-coli,2.02,E-coli__Amikacin__East of England,East of England,1.49
29,East of England,Carbapenems,2020-10-01,E-coli,0.11,E-coli__Carbapenems__East of England,East of England,1.49
30,East of England,Ciprofloxacin,2020-10-01,E-coli,20.41,E-coli__Ciprofloxacin__East of England,East of England,1.49
31,East of England,Co-amoxiclav,2020-10-01,E-coli,46.97,E-coli__Co-amoxiclav__East of England,East of England,1.49
32,East of England,Gentamicin,2020-10-01,E-coli,12.47,E-coli__Gentamicin__East of England,East of England,1.49
33,East of England,Piperacillin with tazobactam,2020-10-01,E-coli,11.72,E-coli__Piperacillin with tazobactam__East of England,East of England,1.49
34,East of England,Third Generation Cephalosporins,2020-10-01,E-coli,14.97,E-coli__Third Generation Cephalosporins__East of England,East of England,1.49
35,East of England,Amikacin,2020-10-01,K-pneumoniae,0.61,K-pneumoniae__Amikacin__East of England,East of England,1.49
36,East of England,Carbapenems,2020-10-01,K-pneumoniae,1.47,K-pneumoniae__Carbapenems__East of England,East of England,1.49
37,East of England,Ciprofloxacin,2020-10-01,K-pneumoniae,14.56,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.49
38,East of England,Co-amoxiclav,2020-10-01,K-pneumoniae,34.01,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.49
39,East of England,Gentamicin,2020-10-01,K-pneumoniae,9.8,K-pneumoniae__Gentamicin__East of England,East of England,1.49
40,East of England,Piperacillin with tazobactam,2020-10-01,K-pneumoniae,28.14,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.49
41,East of England,Third Generation Cephalosporins,2020-10-01,K-pneumoniae,13.37,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.49
42,East of England,Amikacin,2020-10-01,P-aeruginosa,1.49,P-aeruginosa__Amikacin__East of England,East of England,1.49
43,East of England,Carbapenems,2020-10-01,P-aeruginosa,3.42,P-aeruginosa__Carbapenems__East of England,East of England,1.49
44,East of England,Ceftazidime,2020-10-01,P-aeruginosa,6.84,P-aeruginosa__Ceftazidime__East of England,East of England,1.49
45,East of England,Ciprofloxacin,2020-10-01,P-aeruginosa,4.17,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.49
46,East of England,Piperacillin with tazobactam,2020-10-01,P-aeruginosa,10.08,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.49
47,East of England,Macrolides,2020-10-01,S-pneumoniae,8.82,S-pneumoniae__Macrolides__East of England,East of England,1.49
48,East of England,Penicillin,2020-10-01,S-pneumoniae,3.33,S-pneumoniae__Penicillin__East of England,East of England,1.49
49,East of England,Glycopeptides,2020-10-01,e-faecalis,9.09,e-faecalis__Glycopeptides__East of England,East of England,1.49
50,East of England,Glycopeptides,2020-10-01,e-faecium,28.75,e-faecium__Glycopeptides__East of England,East of England,1.49
51,East of England,Amikacin,2020-11-01,E-coli,1.05,E-coli__Amikacin__East of England,East of England,1.45
52,East of England,Carbapenems,2020-11-01,E-coli,0.0,E-coli__Carbapenems__East of England,East of England,1.45
53,East of England,Ciprofloxacin,2020-11-01,E-coli,19.18,E-coli__Ciprofloxacin__East of England,East of England,1.45
54,East of England,Co-amoxiclav,2020-11-01,E-coli,46.03,E-coli__Co-amoxiclav__East of England,East of England,1.45
55,East of England,Gentamicin,2020-11-01,E-coli,12.61,E-coli__Gentamicin__East of England,East of England,1.45
56,East of England,Piperacillin with tazobactam,2020-11-01,E-coli,9.62,E-coli__Piperacillin with tazobactam__East of England,East of England,1.45
57,East of England,Third Generation Cephalosporins,2020-11-01,E-coli,12.69,E-coli__Third Generation Cephalosporins__East of England,East of England,1.45
58,East of England,Amikacin,2020-11-01,K-pneumoniae,1.37,K-pneumoniae__Amikacin__East of England,East of England,1.45
59,East of England,Carbapenems,2020-11-01,K-pneumoniae,2.13,K-pneumoniae__Carbapenems__East of England,East of England,1.45
60,East of England,Ciprofloxacin,2020-11-01,K-pneumoniae,17.99,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.45
61,East of England,Co-amoxiclav,2020-11-01,K-pneumoniae,36.56,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.45
62,East of England,Gentamicin,2020-11-01,K-pneumoniae,11.11,K-pneumoniae__Gentamicin__East of England,East of England,1.45
63,East of England,Piperacillin with tazobactam,2020-11-01,K-pneumoniae,29.57,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.45
64,East of England,Third Generation Cephalosporins,2020-11-01,K-pneumoniae,14.89,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.45
65,East of England,Amikacin,2020-11-01,P-aeruginosa,0.0,P-aeruginosa__Amikacin__East of England,East of England,1.45
66,East of England,Carbapenems,2020-11-01,P-aeruginosa,1.87,P-aeruginosa__Carbapenems__East of England,East of England,1.45
67,East of England,Ceftazidime,2020-11-01,P-aeruginosa,6.54,P-aeruginosa__Ceftazidime__East of England,East of England,1.45
68,East of England,Ciprofloxacin,2020-11-01,P-aeruginosa,4.5,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.45
69,East of England,Piperacillin with tazobactam,2020-11-01,P-aeruginosa,10.09,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.45
70,East of England,Macrolides,2020-11-01,S-pneumoniae,11.54,S-pneumoniae__Macrolides__East of England,East of England,1.45
71,East of England,Penicillin,2020-11-01,S-pneumoniae,4.35,S-pneumoniae__Penicillin__East of England,East of England,1.45
72,East of England,Glycopeptides,2020-11-01,e-faecalis,7.89,e-faecalis__Glycopeptides__East of England,East of England,1.45
73,East of England,Glycopeptides,2020-11-01,e-faecium,22.78,e-faecium__Glycopeptides__East of England,East of England,1.45
74,East of England,Amikacin,2020-12-01,E-coli,1.0,E-coli__Amikacin__East of England,East of England,1.41
75,East of England,Carbapenems,2020-12-01,E-coli,0.14,E-coli__Carbapenems__East of England,East of England,1.41
76,East of England,Ciprofloxacin,2020-12-01,E-coli,18.21,E-coli__Ciprofloxacin__East of England,East of England,1.41
77,East of England,Co-amoxiclav,2020-12-01,E-coli,44.2,E-coli__Co-amoxiclav__East of England,East of England,1.41
78,East of England,Gentamicin,2020-12-01,E-coli,11.28,E-coli__Gentamicin__East of England,East of England,1.41
79,East of England,Piperacillin with tazobactam,2020-12-01,E-coli,10.92,E-coli__Piperacillin with tazobactam__East of England,East of England,1.41
80,East of England,Third Generation Cephalosporins,2020-12-01,E-coli,13.47,E-coli__Third Generation Cephalosporins__East of England,East of England,1.41
81,East of England,Amikacin,2020-12-01,K-pneumoniae,1.42,K-pneumoniae__Amikacin__East of England,East of England,1.41
82,East of England,Carbapenems,2020-12-01,K-pneumoniae,2.15,K-pneumoniae__Carbapenems__East of England,East of England,1.41
83,East of England,Ciprofloxacin,2020-12-01,K-pneumoniae,15.59,K-pneumoniae__Ciprofloxacin__East of England,East of England,1.41
84,East of England,Co-amoxiclav,2020-12-01,K-pneumoniae,35.14,K-pneumoniae__Co-amoxiclav__East of England,East of England,1.41
85,East of England,Gentamicin,2020-12-01,K-pneumoniae,10.11,K-pneumoniae__Gentamicin__East of England,East of England,1.41
86,East of England,Piperacillin with tazobactam,2020-12-01,K-pneumoniae,24.18,K-pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.41
87,East of England,Third Generation Cephalosporins,2020-12-01,K-pneumoniae,14.89,K-pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.41
88,East of England,Amikacin,2020-12-01,P-aeruginosa,1.67,P-aeruginosa__Amikacin__East of England,East of England,1.41
89,East of England,Carbapenems,2020-12-01,P-aeruginosa,4.4,P-aeruginosa__Carbapenems__East of England,East of England,1.41
90,East of England,Ceftazidime,2020-12-01,P-aeruginosa,10.99,P-aeruginosa__Ceftazidime__East of England,East of England,1.41
91,East of England,Ciprofloxacin,2020-12-01,P-aeruginosa,8.51,P-aeruginosa__Ciprofloxacin__East of England,East of England,1.41
92,East of England,Piperacillin with tazobactam,2020-12-01,P-aeruginosa,13.04,P-aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.41
93,East of England,Macrolides,2020-12-01,S-pneumoniae,9.52,S-pneumoniae__Macrolides__East of England,East of England,1.41
94,East of England,Penicillin,2020-12-01,S-pneumoniae,5.88,S-pneumoniae__Penicillin__East of England,East of England,1.41
95,East of England,Glycopeptides,2020-12-01,e-faecalis,4.05,e-faecalis__Glycopeptides__East of England,East of England,1.41
96,East of England,Glycopeptides,2020-12-01,e-faecium,23.38,e-faecium__Glycopeptides__East of England,East of England,1.41
97,East of England,Amikacin,2021-01-01,E-coli,1.19,E-coli__Amikacin__East of England,East of England,1.34
98,East of England,Carbapenems,2021-01-01,E-coli,0.13,E-coli__Carbapenems__East of England,East of England,1.34
99,East of England,Ciprofloxacin,2021-01-01,E-coli,17.8,E-coli__Ciprofloxacin__East of England,East of England,1.34
100,East of England,Co-amoxiclav,2021-01-01,E-coli,43.76,E-coli__Co-amoxiclav__East of England,East of England,1.34
101,East of England,Gentamicin,2021-01-01,E-coli,9.02,E-coli__Gentamicin__East of England,East of England,1.34
